cid1,cid2,l1,l2
16,30,Canada,United States of America
211,191,Latvia,Estonia
17,30,Japan,United States of America
774,242,Guatemala,Belize
211,159,Latvia,Russia
16,34617,Canada,Saint Pierre and Miquelon
760,717,Saint Lucia,Venezuela
16,223,Canada,Greenland
96,774,Mexico,Guatemala
917,668,Bhutan,India
836,148,Myanmar,People's Republic of China
36,214,Poland,Slovakia
921,833,Brunei,Malaysia
917,8733,Bhutan,Qing dynasty
833,2223,Malaysia,Riau Islands
836,819,Myanmar,Laos
917,17269,Bhutan,Tibet
836,869,Myanmar,Thailand
17,159,Japan,Russia
17,148,Japan,People's Republic of China
252,691,Indonesia,Papua New Guinea
836,668,Myanmar,India
114,115,Kenya,Ethiopia
114,924,Kenya,Tanzania
211,184,Latvia,Belarus
774,96,Guatemala,Mexico
763,717,Saint Kitts and Nevis,Venezuela
836,902,Myanmar,Bangladesh
212,36,Ukraine,Poland
774,783,Guatemala,Honduras
836,1502,Myanmar,Mizoram
36,33946,Poland,Czechoslovakia
16,38610,Canada,Dominion of Newfoundland
774,792,Guatemala,El Salvador
924,114,Tanzania,Kenya
252,695,Indonesia,Palau
37,36,Lithuania,Poland
924,967,Tanzania,Burundi
252,833,Indonesia,Malaysia
114,1036,Kenya,Uganda
16,756617,Canada,Kingdom of Denmark
16,738395,Canada,Rupert's Land
212,184,Ukraine,Belarus
36,756617,Poland,Kingdom of Denmark
924,970,Tanzania,Comoros
17,884,Japan,South Korea
924,953,Tanzania,Zambia
924,1020,Tanzania,Malawi
36,15180,Poland,Soviet Union
252,869,Indonesia,Thailand
924,1029,Tanzania,Mozambique
37,184,Lithuania,Belarus
17,865,Japan,Taiwan
769,717,Grenada,Venezuela
212,28,Ukraine,Hungary
114,958,Kenya,South Sudan
16,1152445,Canada,Aerican Empire
16,2514958,Canada,Colony of British Columbia
924,974,Tanzania,Democratic Republic of the Congo
37,159,Lithuania,Russia
837,148,Nepal,People's Republic of China
17,15180,Japan,Soviet Union
37,211,Lithuania,Latvia
774,105375559,Guatemala,Western Zone of El Salvador
774,19464773,Guatemala,Northern America and Mexico
17,928,Japan,Philippines
37,7318,Lithuania,Nazi Germany
837,668,Nepal,India
783,774,Honduras,Guatemala
924,1037,Tanzania,Rwanda
924,1042,Tanzania,Seychelles
924,5505,Tanzania,Lake Nyanza
114,5505,Kenya,Lake Nyanza
837,17269,Nepal,Tibet
783,811,Honduras,Nicaragua
38,39,Italy,Switzerland
784,717,Dominica,Venezuela
252,881,Indonesia,Vietnam
837,7261660,Nepal,Purvanchal
786,790,Dominican Republic,Haiti
842,613,Oman,Emirate of Dubai
924,1036,Tanzania,Uganda
212,218,Ukraine,Romania
212,214,Ukraine,Slovakia
783,792,Honduras,El Salvador
114,7172,Kenya,Arab League
783,1005750,Honduras,La Unión
783,991400,Honduras,Puerto Barrios
114,1049,Kenya,Sudan
928,252,Philippines,Indonesia
38,142,Italy,France
928,17,Philippines,Japan
778,30,The Bahamas,United States of America
212,458,Ukraine,European Union
212,159,Ukraine,Russia
928,833,Philippines,Malaysia
17,28419012,Japan,Gad-Avia
258,1013,South Africa,Lesotho
842,805,Oman,Yemen
212,217,Ukraine,Moldova
783,1020130,Honduras,Los Amates
783,105374668,Honduras,Eastern Zone of El Salvador
114,1045,Kenya,Somalia
38,233,Italy,Malta
252,928,Indonesia,Philippines
28,40,Hungary,Austria
258,1050,South Africa,Eswatini
258,954,South Africa,Zimbabwe
115,958,Ethiopia,South Sudan
842,794,Oman,Iran
38,215,Italy,Slovenia
39,38,Switzerland,Italy
38,40,Italy,Austria
20,33,Norway,Finland
842,187712,Oman,Emirate of Abu Dhabi
842,878,Oman,United Arab Emirates
258,963,South Africa,Botswana
115,114,Ethiopia,Kenya
790,30,Haiti,United States of America
258,1029,South Africa,Mozambique
258,1030,South Africa,Namibia
115,986,Ethiopia,Eritrea
786,717,Dominican Republic,Venezuela
790,786,Haiti,Dominican Republic
843,668,Pakistan,India
842,851,Oman,Saudi Arabia
794,43,Iran,Turkey
38,237,Italy,Vatican City
28,212,Hungary,Ukraine
20,34,Norway,Sweden
262,29,Algeria,Spain
115,1045,Ethiopia,Somalia
792,774,El Salvador,Guatemala
786,1013066,Dominican Republic,Ouanaminthe
786,30,Dominican Republic,United States of America
851,794,Saudi Arabia,Iran
794,399,Iran,Armenia
38,36704,Italy,Yugoslavia
115,977,Ethiopia,Djibouti
28,214,Hungary,Slovakia
115,7172,Ethiopia,Arab League
851,805,Saudi Arabia,Yemen
794,227,Iran,Azerbaijan
843,794,Pakistan,Iran
843,8285348,Pakistan,Wakhan Corridor
38,238,Italy,San Marino
214,28,Slovakia,Hungary
38,13924,Italy,Adriatic Sea
27,26,Republic of Ireland,Northern Ireland
27,145,Republic of Ireland,United Kingdom
213,40,Czech Republic,Austria
213,36,Czech Republic,Poland
851,810,Saudi Arabia,Jordan
262,38,Algeria,Italy
929,657,Central African Republic,Chad
846,794,Qatar,Iran
843,889,Pakistan,Afghanistan
851,398,Saudi Arabia,Bahrain
20,159,Norway,Russia
842,464718,Oman,Najran Province
39,142,Switzerland,France
928,695,Philippines,Palau
792,783,El Salvador,Honduras
846,851,Qatar,Saudi Arabia
928,865,Philippines,Taiwan
843,148,Pakistan,People's Republic of China
794,817,Iran,Kuwait
851,796,Saudi Arabia,Iraq
39,183,Switzerland,Germany
39,40,Switzerland,Austria
142,31,France,Belgium
38,262,Italy,Algeria
851,817,Saudi Arabia,Kuwait
214,40,Slovakia,Austria
214,36,Slovakia,Poland
794,843,Iran,Pakistan
115,1049,Ethiopia,Sudan
262,1016,Algeria,Libya
20,458,Norway,European Union
794,398,Iran,Bahrain
794,796,Iran,Iraq
929,971,Central African Republic,Republic of the Congo
28,224,Hungary,Croatia
142,32,France,Luxembourg
39,347,Switzerland,Liechtenstein
851,842,Saudi Arabia,Oman
262,948,Algeria,Tunisia
929,958,Central African Republic,South Sudan
28,218,Hungary,Romania
262,912,Algeria,Mali
39,985,Switzerland,Baden-Württemberg
851,846,Saudi Arabia,Qatar
929,974,Central African Republic,Democratic Republic of the Congo
851,878,Saudi Arabia,United Arab Emirates
40,38,Austria,Italy
929,7172,Central African Republic,Arab League
39,28513,Switzerland,Austria-Hungary
214,213,Slovakia,Czech Republic
213,214,Czech Republic,Slovakia
794,874,Iran,Turkmenistan
794,842,Iran,Oman
929,1049,Central African Republic,Sudan
28,403,Hungary,Serbia
39,43287,Switzerland,German Empire
28,215,Hungary,Slovenia
39,458,Switzerland,European Union
794,846,Iran,Qatar
39,7318,Switzerland,Nazi Germany
929,1009,Central African Republic,Cameroon
262,1028,Algeria,Morocco
794,878,Iran,United Arab Emirates
40,28,Austria,Hungary
142,38,France,Italy
214,212,Slovakia,Ukraine
28,36704,Hungary,Yugoslavia
794,851,Iran,Saudi Arabia
262,1032,Algeria,Niger
794,15180,Iran,Soviet Union
39,176495,Switzerland,Federal State of Austria
31,32,Belgium,Luxembourg
142,29,France,Spain
39,518101,Switzerland,First Republic of Austria
142,155,France,Brazil
142,39,France,Switzerland
40,39,Austria,Switzerland
794,889,Iran,Afghanistan
39,713750,Switzerland,West Germany
142,228,France,Andorra
945,962,Togo,Benin
40,183,Austria,Germany
213,183,Czech Republic,Germany
28,184548,Hungary,Nitra Region
28,33946,Hungary,Czechoslovakia
794,131083,Iran,Nakhchivan Autonomous Republic
945,117,Togo,Ghana
794,7172,Iran,Arab League
262,1025,Algeria,Mauritania
39,131964,Switzerland,Austrian Empire
948,262,Tunisia,Algeria
265,232,Uzbekistan,Kazakhstan
298,419,Chile,Peru
20,35,Norway,Denmark
142,29999,France,Kingdom of the Netherlands
40,215,Austria,Slovenia
142,730,France,Suriname
945,965,Togo,Burkina Faso
298,414,Chile,Argentina
142,183,France,Germany
948,1016,Tunisia,Libya
117,965,Ghana,Burkina Faso
265,813,Uzbekistan,Kyrgyzstan
262,6250,Algeria,Western Sahara
863,148,Tajikistan,People's Republic of China
117,1008,Ghana,Ivory Coast
40,36704,Austria,Yugoslavia
954,258,Zimbabwe,South Africa
953,916,Zambia,Angola
953,924,Zambia,Tanzania
40,213,Austria,Czech Republic
40,214,Austria,Slovakia
29,45,Spain,Portugal
40,347,Austria,Liechtenstein
863,265,Tajikistan,Uzbekistan
863,813,Tajikistan,Kyrgyzstan
863,889,Tajikistan,Afghanistan
40,713750,Austria,West Germany
865,17,Taiwan,Japan
29,228,Spain,Andorra
40,1277557,Austria,Democratic Federal Yugoslavia
858,43,Syria,Turkey
800,811,Costa Rica,Nicaragua
20,756617,Norway,Kingdom of Denmark
20,223,Norway,Greenland
117,945,Ghana,Togo
792,2403612,El Salvador,Moyuta
792,2403493,El Salvador,Agua Blanca
792,1954363,El Salvador,Concepción Las Minas
142,235,France,Monaco
31,55,Belgium,Netherlands
30,96,United States of America,Mexico
30,16,United States of America,Canada
31,183,Belgium,Germany
31,142,Belgium,France
298,750,Chile,Bolivia
801,822,Israel,Lebanon
217,212,Moldova,Ukraine
40,33946,Austria,Czechoslovakia
40,853348,Austria,Czechoslovak Socialist Republic
145,27,United Kingdom,Republic of Ireland
794,23057402,Iran,Qumar
29,142,Spain,France
953,954,Zambia,Zimbabwe
865,928,Taiwan,Philippines
32,31,Luxembourg,Belgium
953,974,Zambia,Democratic Republic of the Congo
29,1028,Spain,Morocco
801,79,Israel,Egypt
863,8285348,Tajikistan,Wakhan Corridor
265,863,Uzbekistan,Tajikistan
794,163239,Iran,Balochistan
794,155542,Iran,Eastern Anatolia Region
954,963,Zimbabwe,Botswana
32,183,Luxembourg,Germany
31,29999,Belgium,Kingdom of the Netherlands
217,218,Moldova,Romania
801,810,Israel,Jordan
32,142,Luxembourg,France
953,1020,Zambia,Malawi
804,30,Panama,United States of America
219,41,Bulgaria,Greece
800,804,Costa Rica,Panama
40,83286,Austria,Socialist Federal Republic of Yugoslavia
29,262,Spain,Algeria
858,796,Syria,Iraq
954,1029,Zimbabwe,Mozambique
804,739,Panama,Colombia
215,28,Slovenia,Hungary
265,889,Uzbekistan,Afghanistan
953,963,Zambia,Botswana
265,874,Uzbekistan,Turkmenistan
347,39,Liechtenstein,Switzerland
954,953,Zimbabwe,Zambia
858,801,Syria,Israel
858,822,Syria,Lebanon
858,155552,Syria,Mediterranean Region
858,155638,Syria,Southeastern Anatolia Region
801,858,Israel,Syria
29,1410,Spain,Gibraltar
29,18678265,Spain,Occitania
29,953432,Spain,Couto Misto
953,1030,Zambia,Namibia
221,41,North Macedonia,Greece
810,796,Jordan,Iraq
215,38,Slovenia,Italy
854,668,Sri Lanka,India
953,1029,Zambia,Mozambique
221,222,North Macedonia,Albania
810,801,Jordan,Israel
398,851,Bahrain,Saudi Arabia
41,222,Greece,Albania
796,43,Iraq,Turkey
41,43,Greece,Turkey
347,40,Liechtenstein,Austria
858,810,Syria,Jordan
347,458,Liechtenstein,European Union
869,833,Thailand,Malaysia
869,252,Thailand,Indonesia
399,227,Armenia,Azerbaijan
221,219,North Macedonia,Bulgaria
398,794,Bahrain,Iran
215,40,Slovenia,Austria
796,794,Iraq,Iran
958,114,South Sudan,Kenya
958,115,South Sudan,Ethiopia
869,424,Thailand,Cambodia
804,800,Panama,Costa Rica
874,265,Turkmenistan,Uzbekistan
869,819,Thailand,Laos
41,219,Greece,Bulgaria
41,221,Greece,North Macedonia
41,13037412,Greece,Konispol municipality
41,1104675,Greece,Kardzhali Province
41,10780849,Greece,"Kolonjë, Korçë"
869,185944,Thailand,Kelantan
219,43,Bulgaria,Turkey
41,13037406,Greece,"Devoll, Korçë"
810,851,Jordan,Saudi Arabia
29,7172,Spain,Arab League
219,166,Bulgaria,Black Sea
215,224,Slovenia,Croatia
958,1036,South Sudan,Uganda
41,36704,Greece,Yugoslavia
221,403,North Macedonia,Serbia
796,858,Iraq,Syria
869,836,Thailand,Myanmar
810,36678,Jordan,West Bank
869,1054184,Thailand,Khmer Republic
958,929,South Sudan,Central African Republic
958,974,South Sudan,Democratic Republic of the Congo
221,1246,North Macedonia,Kosovo
874,232,Turkmenistan,Kazakhstan
810,858,Jordan,Syria
34,33,Sweden,Finland
796,810,Iraq,Jordan
869,188947,Thailand,Kedah
399,230,Armenia,Georgia
399,43,Armenia,Turkey
962,945,Benin,Togo
219,221,Bulgaria,North Macedonia
805,842,Yemen,Oman
805,851,Yemen,Saudi Arabia
219,218,Bulgaria,Romania
41,13037431,Greece,Përmet municipality
41,28036071,Greece,Finiq municipality
41,25378726,Greece,Dropull municipality
796,817,Iraq,Kuwait
221,458,North Macedonia,European Union
34,20,Sweden,Norway
796,851,Iraq,Saudi Arabia
869,188953,Thailand,Perak
869,330988,Thailand,Democratic Kampuchea
219,403,Bulgaria,Serbia
962,1033,Benin,Nigeria
796,155638,Iraq,Southeastern Anatolia Region
796,155542,Iraq,Eastern Anatolia Region
148,17,People's Republic of China,Japan
34,35,Sweden,Denmark
30,17,United States of America,Japan
148,423,People's Republic of China,North Korea
813,232,Kyrgyzstan,Kazakhstan
30,159,United States of America,Russia
222,403,Albania,Serbia
224,28,Croatia,Hungary
958,7172,South Sudan,Arab League
399,794,Armenia,Iran
962,1032,Benin,Niger
222,41,Albania,Greece
878,842,United Arab Emirates,Oman
813,265,Kyrgyzstan,Uzbekistan
148,668,People's Republic of China,India
218,219,Romania,Bulgaria
958,1049,South Sudan,Sudan
962,965,Benin,Burkina Faso
218,28,Romania,Hungary
878,794,United Arab Emirates,Iran
874,794,Turkmenistan,Iran
148,159,People's Republic of China,Russia
218,212,Romania,Ukraine
222,221,Albania,North Macedonia
874,889,Turkmenistan,Afghanistan
218,217,Romania,Moldova
963,258,Botswana,South Africa
878,851,United Arab Emirates,Saudi Arabia
817,794,Kuwait,Iran
813,863,Kyrgyzstan,Tajikistan
811,739,Nicaragua,Colombia
222,236,Albania,Montenegro
813,148,Kyrgyzstan,People's Republic of China
224,215,Croatia,Slovenia
963,953,Botswana,Zambia
222,458,Albania,European Union
30,241,United States of America,Cuba
218,403,Romania,Serbia
148,232,People's Republic of China,Kazakhstan
881,148,Vietnam,People's Republic of China
881,252,Vietnam,Indonesia
881,424,Vietnam,Cambodia
811,800,Nicaragua,Costa Rica
222,1246,Albania,Kosovo
36,159,Poland,Russia
963,954,Botswana,Zimbabwe
811,783,Nicaragua,Honduras
224,225,Croatia,Bosnia and Herzegovina
963,1030,Botswana,Namibia
43,219,Turkey,Bulgaria
148,836,People's Republic of China,Myanmar
36,37,Poland,Lithuania
43,41,Turkey,Greece
403,218,Serbia,Romania
965,912,Burkina Faso,Mali
43,227,Turkey,Azerbaijan
36,183,Poland,Germany
148,837,People's Republic of China,Nepal
817,796,Kuwait,Iraq
43,230,Turkey,Georgia
881,819,Vietnam,Laos
148,819,People's Republic of China,Laos
36,212,Poland,Ukraine
965,117,Burkina Faso,Ghana
408,252,Australia,Indonesia
148,889,People's Republic of China,Afghanistan
817,851,Kuwait,Saudi Arabia
801,229,Israel,Cyprus
889,633511,Afghanistan,Khatlon Province
30,678,United States of America,Tonga
30,702,United States of America,Federated States of Micronesia
224,19801186,Croatia,Liberland
43,796,Turkey,Iraq
148,813,People's Republic of China,Kyrgyzstan
43,458,Turkey,European Union
30,683,United States of America,Samoa
30,710,United States of America,Kiribati
965,1008,Burkina Faso,Ivory Coast
148,711,People's Republic of China,Mongolia
43,399,Turkey,Armenia
881,330988,Vietnam,Democratic Kampuchea
967,924,Burundi,Tanzania
403,28,Serbia,Hungary
965,945,Burkina Faso,Togo
403,221,Serbia,North Macedonia
148,863,People's Republic of China,Tajikistan
36,184,Poland,Belarus
224,403,Croatia,Serbia
224,236,Croatia,Montenegro
967,1037,Burundi,Rwanda
967,974,Burundi,Democratic Republic of the Congo
965,962,Burkina Faso,Benin
30,709,United States of America,Marshall Islands
30,717,United States of America,Venezuela
43,794,Turkey,Iran
30,786,United States of America,Dominican Republic
155,77,Brazil,Uruguay
403,236,Serbia,Montenegro
155,142,Brazil,France
36,213,Poland,Czech Republic
30,778,United States of America,The Bahamas
965,1032,Burkina Faso,Niger
884,17,South Korea,Japan
43,858,Turkey,Syria
403,458,Serbia,European Union
403,219,Serbia,Bulgaria
403,225,Serbia,Bosnia and Herzegovina
43,147909,Turkey,Kingdom of Bulgaria
148,881,People's Republic of China,Vietnam
403,222,Serbia,Albania
403,224,Serbia,Croatia
817,74091,Kuwait,Saudi–Kuwaiti Neutral Zone
414,77,Argentina,Uruguay
148,884,People's Republic of China,South Korea
30,790,United States of America,Haiti
30,79754,United States of America,Querétaro
403,1246,Serbia,Kosovo
43,7172,Turkey,Arab League
801,219060,Israel,State of Palestine
30,804,United States of America,Panama
414,298,Argentina,Chile
801,36678,Israel,West Bank
148,843,People's Republic of China,Pakistan
43,15180,Turkey,Soviet Union
43,131083,Turkey,Nakhchivan Autonomous Republic
801,7172,Israel,Arab League
155,414,Brazil,Argentina
414,733,Argentina,Paraguay
889,265,Afghanistan,Uzbekistan
833,252,Malaysia,Indonesia
408,574,Australia,East Timor
148,917,People's Republic of China,Bhutan
408,691,Australia,Papua New Guinea
414,155,Argentina,Brazil
889,794,Afghanistan,Iran
801,39760,Israel,Gaza Strip
30,34266,United States of America,Russian Empire
884,148,South Korea,People's Republic of China
833,334,Malaysia,Singapore
970,1029,Comoros,Mozambique
970,1019,Comoros,Madagascar
155,419,Brazil,Peru
155,717,Brazil,Venezuela
33,20,Finland,Norway
414,750,Argentina,Bolivia
889,843,Afghanistan,Pakistan
43,23681,Turkey,Turkish Republic of Northern Cyprus
833,921,Malaysia,Brunei
970,1042,Comoros,Seychelles
408,664,Australia,New Zealand
30,15180,United States of America,Soviet Union
30,1152445,United States of America,Aerican Empire
889,148,Afghanistan,People's Republic of China
805,464718,Yemen,Najran Province
833,869,Malaysia,Thailand
334,833,Singapore,Malaysia
419,155,Peru,Brazil
229,801,Cyprus,Israel
33,34,Finland,Sweden
884,423,South Korea,North Korea
30,248452,United States of America,British North America
30,81931,United States of America,Confederate States of America
970,17063,Comoros,Mayotte
155,730,Brazil,Suriname
833,928,Malaysia,Philippines
419,298,Peru,Chile
889,863,Afghanistan,Tajikistan
889,874,Afghanistan,Turkmenistan
889,15180,Afghanistan,Soviet Union
419,736,Peru,Ecuador
801,407199,Israel,Palestinian territories
902,668,Bangladesh,India
155,739,Brazil,Colombia
155,734,Brazil,Guyana
334,252,Singapore,Indonesia
229,37362,Cyprus,Akrotiri and Dhekelia
971,916,Republic of the Congo,Angola
228,29,Andorra,Spain
419,199821,Peru,Gran Colombia
419,750,Peru,Bolivia
889,163239,Afghanistan,Balochistan
912,262,Mali,Algeria
155,3769,Brazil,French Guiana
229,23681,Cyprus,Turkish Republic of Northern Cyprus
31,7318,Belgium,Nazi Germany
33,159,Finland,Russia
228,458,Andorra,European Union
77,155,Uruguay,Brazil
902,836,Bangladesh,Myanmar
971,1000,Republic of the Congo,Gabon
912,1006,Mali,Guinea
974,924,Democratic Republic of the Congo,Tanzania
