cid1,cid2,l1,l2
971,974,Republic of the Congo,Democratic Republic of the Congo
912,1008,Mali,Ivory Coast
974,929,Democratic Republic of the Congo,Central African Republic
225,224,Bosnia and Herzegovina,Croatia
228,142,Andorra,France
974,916,Democratic Republic of the Congo,Angola
155,750,Brazil,Bolivia
79,851,Egypt,Saudi Arabia
974,958,Democratic Republic of the Congo,South Sudan
225,236,Bosnia and Herzegovina,Montenegro
225,458,Bosnia and Herzegovina,European Union
423,148,North Korea,People's Republic of China
155,733,Brazil,Paraguay
419,739,Peru,Colombia
916,974,Angola,Democratic Republic of the Congo
902,1502,Bangladesh,Mizoram
912,965,Mali,Burkina Faso
971,1009,Republic of the Congo,Cameroon
974,967,Democratic Republic of the Congo,Burundi
31,151938,Belgium,Neutral Moresnet
974,971,Democratic Republic of the Congo,Republic of the Congo
31,43287,Belgium,German Empire
971,929,Republic of the Congo,Central African Republic
77,107236912,Uruguay,Political geography of Argentina
225,403,Bosnia and Herzegovina,Serbia
912,7172,Mali,Arab League
423,15180,North Korea,Soviet Union
912,1032,Mali,Niger
916,953,Angola,Zambia
912,1025,Mali,Mauritania
819,148,Laos,People's Republic of China
912,1041,Mali,Senegal
974,1049,Democratic Republic of the Congo,Sudan
79,1049,Egypt,Sudan
227,43,Azerbaijan,Turkey
819,424,Laos,Cambodia
916,971,Angola,Republic of the Congo
77,414,Uruguay,Argentina
423,884,North Korea,South Korea
31,16987,Belgium,Nord-Pas-de-Calais
974,953,Democratic Republic of the Congo,Zambia
916,1030,Angola,Namibia
811,1189266,Nicaragua,Los Chiles Canton
917,148,Bhutan,People's Republic of China
45,29,Portugal,Spain
1000,1009,Gabon,Cameroon
916,1000,Angola,Gabon
974,1037,Democratic Republic of the Congo,Rwanda
974,1036,Democratic Republic of the Congo,Uganda
159,20,Russia,Norway
79,801,Egypt,Israel
423,159,North Korea,Russia
159,17,Russia,Japan
45,5739,Portugal,Castile and León
424,819,Cambodia,Laos
1000,1039,Gabon,São Tomé and Príncipe
79,105082407,Egypt,Kingdom of Africa
79,620634,Egypt,Bir Tawil
1000,983,Gabon,Equatorial Guinea
232,159,Kazakhstan,Russia
232,265,Kazakhstan,Uzbekistan
159,33,Russia,Finland
819,869,Laos,Thailand
983,1000,Equatorial Guinea,Gabon
96,30,Mexico,United States of America
79,1016,Egypt,Libya
45,12392198,Portugal,Ludeiros
45,20542115,Portugal,Ludeiros
227,159,Azerbaijan,Russia
159,30,Russia,United States of America
819,836,Laos,Myanmar
79,39760,Egypt,Gaza Strip
851,79,Saudi Arabia,Egypt
424,869,Cambodia,Thailand
977,115,Djibouti,Ethiopia
574,408,East Timor,Australia
159,148,Russia,People's Republic of China
227,399,Azerbaijan,Armenia
159,36,Russia,Poland
32,1201,Luxembourg,Saarland
232,874,Kazakhstan,Turkmenistan
977,34754,Djibouti,Somaliland
1005,1041,The Gambia,Senegal
819,881,Laos,Vietnam
232,148,Kazakhstan,People's Republic of China
32,8579,Luxembourg,Trier-Saarburg
1000,867597,Gabon,province of Equatorial Guinea
227,230,Azerbaijan,Georgia
695,252,Palau,Indonesia
96,242,Mexico,Belize
159,37,Russia,Lithuania
227,794,Azerbaijan,Iran
159,191,Russia,Estonia
96,93022,Mexico,Roma
574,252,East Timor,Indonesia
32,43287,Luxembourg,German Empire
32,1127,Luxembourg,Liège
32,1126,Luxembourg,Luxembourg
159,184,Russia,Belarus
424,881,Cambodia,Vietnam
983,1009,Equatorial Guinea,Cameroon
691,702,Papua New Guinea,Federated States of Micronesia
96,199821,Mexico,Gran Colombia
977,986,Djibouti,Eritrea
96,1005008,Mexico,"San Andrés, El Petén"
1006,912,Guinea,Mali
96,599455,Mexico,Melchor de Mencos
986,977,Eritrea,Djibouti
32,7318,Luxembourg,Nazi Germany
977,1045,Djibouti,Somalia
232,813,Kazakhstan,Kyrgyzstan
1006,1007,Guinea,Guinea-Bissau
986,1049,Eritrea,Sudan
986,7172,Eritrea,Arab League
986,115,Eritrea,Ethiopia
574,7768,East Timor,ASEAN
1006,1008,Guinea,Ivory Coast
32,18677983,Luxembourg,Grand Est
695,702,Palau,Federated States of Micronesia
159,211,Russia,Latvia
1006,1014,Guinea,Liberia
235,458,Monaco,European Union
983,1039,Equatorial Guinea,São Tomé and Príncipe
227,244165,Azerbaijan,Republic of Artsakh
159,230,Russia,Georgia
1006,1044,Guinea,Sierra Leone
822,801,Lebanon,Israel
1006,1041,Guinea,Senegal
1007,1006,Guinea-Bissau,Guinea
233,38,Malta,Italy
702,695,Federated States of Micronesia,Palau
235,142,Monaco,France
702,30,Federated States of Micronesia,United States of America
159,212,Russia,Ukraine
1007,1041,Guinea-Bissau,Senegal
822,858,Lebanon,Syria
159,423,Russia,North Korea
1008,117,Ivory Coast,Ghana
96,1112742,Mexico,Columbus
159,232,Russia,Kazakhstan
96,2390990,Mexico,Santa Cruz Barillas
96,2017699,Mexico,Northern America
96,2402405,Mexico,Santa Ana Huista
1008,912,Ivory Coast,Mali
159,711,Russia,Mongolia
32,22248793,Luxembourg,Lorraine
32,54821838,Luxembourg,saarVV zone 251
695,928,Palau,Philippines
236,224,Montenegro,Croatia
159,227,Russia,Azerbaijan
1000,916,Gabon,Angola
1008,965,Ivory Coast,Burkina Faso
236,222,Montenegro,Albania
159,23427,Russia,South Ossetia
1000,971,Gabon,Republic of the Congo
702,691,Federated States of Micronesia,Papua New Guinea
664,408,New Zealand,Australia
236,225,Montenegro,Bosnia and Herzegovina
657,929,Chad,Central African Republic
1008,1014,Ivory Coast,Liberia
1008,1006,Ivory Coast,Guinea
819,330988,Laos,Democratic Kampuchea
657,1032,Chad,Niger
657,1009,Chad,Cameroon
657,1016,Chad,Libya
159,16150196,Russia,Donetsk People's Republic
236,1246,Montenegro,Kosovo
1009,657,Cameroon,Chad
236,403,Montenegro,Serbia
159,16746854,Russia,Luhansk People's Republic
710,30,Kiribati,United States of America
33,15180,Finland,Soviet Union
657,1033,Chad,Nigeria
230,43,Georgia,Turkey
159,31354462,Russia,Republic of Abkhazia
1009,929,Cameroon,Central African Republic
833,2175,Malaysia,Riau
709,697,Marshall Islands,Nauru
1009,971,Cameroon,Republic of the Congo
709,702,Marshall Islands,Federated States of Micronesia
230,159,Georgia,Russia
230,227,Georgia,Azerbaijan
709,30,Marshall Islands,United States of America
34,172107,Sweden,Polish–Lithuanian Commonwealth
710,142,Kiribati,France
236,458,Montenegro,European Union
657,7172,Chad,Arab League
230,399,Georgia,Armenia
1014,1006,Liberia,Guinea
668,148,India,People's Republic of China
34,756617,Sweden,Kingdom of Denmark
657,1049,Chad,Sudan
238,38,San Marino,Italy
1009,983,Cameroon,Equatorial Guinea
1013,258,Lesotho,South Africa
1009,1000,Cameroon,Gabon
183,31,Germany,Belgium
1009,974,Cameroon,Democratic Republic of the Congo
1014,1008,Liberia,Ivory Coast
238,458,San Marino,European Union
34,211,Sweden,Latvia
668,252,India,Indonesia
183,36,Germany,Poland
1009,1033,Cameroon,Nigeria
1014,1044,Liberia,Sierra Leone
1009,867597,Cameroon,province of Equatorial Guinea
668,836,India,Myanmar
183,32,Germany,Luxembourg
242,774,Belize,Guatemala
1016,262,Libya,Algeria
709,710,Marshall Islands,Kiribati
1016,79,Libya,Egypt
183,35,Germany,Denmark
252,574,Indonesia,East Timor
1016,1032,Libya,Niger
183,142,Germany,France
668,902,India,Bangladesh
668,854,India,Sri Lanka
691,252,Papua New Guinea,Indonesia
252,334,Indonesia,Singapore
183,39,Germany,Switzerland
1019,970,Madagascar,Comoros
1016,657,Libya,Chad
668,917,India,Bhutan
1019,1042,Madagascar,Seychelles
183,40,Germany,Austria
668,837,India,Nepal
668,843,India,Pakistan
1019,17063,Madagascar,Mayotte
1016,1049,Libya,Sudan
1016,948,Libya,Tunisia
252,408,Indonesia,Australia
241,30,Cuba,United States of America
730,155,Suriname,Brazil
730,142,Suriname,France
183,55,Germany,Netherlands
711,148,Mongolia,People's Republic of China
685,142,Solomon Islands,France
691,408,Papua New Guinea,Australia
183,213,Germany,Czech Republic
730,734,Suriname,Guyana
711,159,Mongolia,Russia
211,34,Latvia,Sweden
1020,1029,Malawi,Mozambique
242,96,Belize,Mexico
730,458,Suriname,European Union
683,30,Samoa,United States of America
730,3769,Suriname,French Guiana
1025,262,Mauritania,Algeria
252,668,Indonesia,India
237,38,Vatican City,Italy
1020,924,Malawi,Tanzania
237,458,Vatican City,European Union
189,223,Iceland,Greenland
1025,912,Mauritania,Mali
1020,953,Malawi,Zambia
211,37,Latvia,Lithuania
1025,6250,Mauritania,Western Sahara
1025,1028,Mauritania,Morocco
1025,40362,Mauritania,Sahrawi Arab Democratic Republic
739,717,Colombia,Venezuela
184,36,Belarus,Poland
184,159,Belarus,Russia
685,691,Solomon Islands,Papua New Guinea
739,155,Colombia,Brazil
184,37,Belarus,Lithuania
1027,1042,Mauritius,Seychelles
1025,1041,Mauritania,Senegal
184,211,Belarus,Latvia
189,4628,Iceland,Faroe Islands
685,712,Solomon Islands,Fiji
717,30,Venezuela,United States of America
733,414,Paraguay,Argentina
685,408,Solomon Islands,Australia
750,155,Bolivia,Brazil
733,155,Paraguay,Brazil
739,419,Colombia,Peru
1025,13474305,Mauritania,Francoist Spain
717,142,Venezuela,France
733,750,Paraguay,Bolivia
1028,29,Morocco,Spain
739,736,Colombia,Ecuador
754,717,Trinidad and Tobago,Venezuela
717,739,Venezuela,Colombia
184,212,Belarus,Ukraine
734,155,Guyana,Brazil
750,414,Bolivia,Argentina
685,686,Solomon Islands,Vanuatu
717,145,Venezuela,United Kingdom
750,298,Bolivia,Chile
717,760,Venezuela,Saint Lucia
184,458,Belarus,European Union
739,811,Colombia,Nicaragua
1028,262,Morocco,Algeria
1028,6250,Morocco,Western Sahara
717,734,Venezuela,Guyana
736,739,Ecuador,Colombia
189,25231,Iceland,Svalbard
1028,40362,Morocco,Sahrawi Arab Democratic Republic
1028,458,Morocco,European Union
757,717,Saint Vincent and the Grenadines,Venezuela
717,754,Venezuela,Trinidad and Tobago
736,419,Ecuador,Peru
717,155,Venezuela,Brazil
191,159,Estonia,Russia
739,804,Colombia,Panama
717,757,Venezuela,Saint Vincent and the Grenadines
717,769,Venezuela,Grenada
750,419,Bolivia,Peru
1028,13474305,Morocco,Francoist Spain
717,763,Venezuela,Saint Kitts and Nevis
734,717,Guyana,Venezuela
717,786,Venezuela,Dominican Republic
750,733,Bolivia,Paraguay
1029,258,Mozambique,South Africa
734,730,Guyana,Suriname
717,29999,Venezuela,Kingdom of the Netherlands
678,30,Tonga,United States of America
1029,953,Mozambique,Zambia
1029,924,Mozambique,Tanzania
717,784,Venezuela,Dominica
1029,954,Mozambique,Zimbabwe
191,211,Estonia,Latvia
1030,258,Namibia,South Africa
1030,916,Namibia,Angola
1029,970,Mozambique,Comoros
1029,1019,Mozambique,Madagascar
1032,262,Niger,Algeria
1030,953,Namibia,Zambia
1029,1050,Mozambique,Eswatini
1029,1020,Mozambique,Malawi
1030,963,Namibia,Botswana
1032,657,Niger,Chad
1032,912,Niger,Mali
1032,962,Niger,Benin
1032,965,Niger,Burkina Faso
1032,1033,Niger,Nigeria
1032,1016,Niger,Libya
1033,962,Nigeria,Benin
1033,657,Nigeria,Chad
1032,7172,Niger,Arab League
1033,1009,Nigeria,Cameroon
865,148,Taiwan,People's Republic of China
1033,1032,Nigeria,Niger
1033,1039,Nigeria,São Tomé and Príncipe
1033,81810310,Nigeria,Numbani
1036,114,Uganda,Kenya
1036,924,Uganda,Tanzania
1036,974,Uganda,Democratic Republic of the Congo
1036,958,Uganda,South Sudan
1036,1037,Uganda,Rwanda
1036,1049,Uganda,Sudan
1037,924,Rwanda,Tanzania
1036,5505,Uganda,Lake Nyanza
1037,967,Rwanda,Burundi
1037,974,Rwanda,Democratic Republic of the Congo
1037,1036,Rwanda,Uganda
1039,1000,São Tomé and Príncipe,Gabon
1039,1033,São Tomé and Príncipe,Nigeria
1041,912,Senegal,Mali
1041,1005,Senegal,The Gambia
1041,1007,Senegal,Guinea-Bissau
1041,1006,Senegal,Guinea
1041,1025,Senegal,Mauritania
115,34754,Ethiopia,Somaliland
142,685,France,Solomon Islands
115,848864,Ethiopia,Sool
115,927467,Ethiopia,Galmudug
142,717,France,Venezuela
142,710,France,Kiribati
142,970,France,Comoros
142,1019,France,Madagascar
142,25227,France,Netherlands Antilles
142,1042,France,Seychelles
142,13116,France,Benelux
142,713750,France,West Germany
142,153943,France,Kingdom of Westphalia
142,43287,France,German Empire
145,717,United Kingdom,Venezuela
145,756617,United Kingdom,Kingdom of Denmark
145,23681,United Kingdom,Turkish Republic of Northern Cyprus
148,865,People's Republic of China,Taiwan
148,3037,People's Republic of China,Kathmandu
148,15180,People's Republic of China,Soviet Union
970,142,Comoros,France
148,182902,People's Republic of China,Chita Oblast
148,8285348,People's Republic of China,Wakhan Corridor
148,212056,People's Republic of China,Mongolian People's Republic
970,924,Comoros,Tanzania
155,458,Brazil,European Union
155,199821,Brazil,Gran Colombia
155,107236912,Brazil,Political geography of Argentina
974,1009,Democratic Republic of the Congo,Cameroon
159,458,Russia,European Union
159,38893,Russia,Racha-Lechkhumi and Kvemo Svaneti
159,210036,Russia,Chechen Republic of Ichkeria
159,1037393,Russia,Hokkaido
183,13116,Germany,Benelux
183,29999,Germany,Kingdom of the Netherlands
1019,142,Madagascar,France
183,756617,Germany,Kingdom of Denmark
1019,1029,Madagascar,Mozambique
184,38187789,Belarus,Veyshnoria
183,716072,Germany,Zgorzelec County
183,310293,Germany,Saar Protectorate
183,33946,Germany,Czechoslovakia
189,756617,Iceland,Kingdom of Denmark
1028,1025,Morocco,Mauritania
212,33946,Ukraine,Czechoslovakia
212,16150196,Ukraine,Donetsk People's Republic
212,16746854,Ukraine,Luhansk People's Republic
212,1422856,Ukraine,Krosno Voivodeship
212,907112,Ukraine,Transnistria
213,257454,Czech Republic,Mistelbach District
213,716072,Czech Republic,Zgorzelec County
213,694442,Czech Republic,Gänserndorf District
213,637226,Czech Republic,Kamienna Góra County
213,637018,Czech Republic,Karkonosze County
213,694349,Czech Republic,Hollabrunn District
214,1422856,Slovakia,Krosno Voivodeship
214,694442,Slovakia,Gänserndorf District
1039,983,São Tomé and Príncipe,Equatorial Guinea
217,907112,Moldova,Transnistria
217,458,Moldova,European Union
217,1151006,Moldova,Podilsk Raion
1041,7172,Senegal,Arab League
1042,142,Seychelles,France
1042,970,Seychelles,Comoros
1042,924,Seychelles,Tanzania
218,33946,Romania,Czechoslovakia
1042,1027,Seychelles,Mauritius
1042,1019,Seychelles,Madagascar
218,37024,Romania,Serbia and Montenegro
1044,1006,Sierra Leone,Guinea
218,15180,Romania,Soviet Union
1044,1014,Sierra Leone,Liberia
218,36704,Romania,Yugoslavia
1045,114,Somalia,Kenya
1045,115,Somalia,Ethiopia
218,83286,Romania,Socialist Federal Republic of Yugoslavia
1049,114,Sudan,Kenya
1049,79,Sudan,Egypt
1049,115,Sudan,Ethiopia
1045,977,Somalia,Djibouti
1049,929,Sudan,Central African Republic
1049,657,Sudan,Chad
1049,958,Sudan,South Sudan
219,15180,Bulgaria,Soviet Union
219,36704,Bulgaria,Yugoslavia
219,155583,Bulgaria,Marmara Region
1049,974,Sudan,Democratic Republic of the Congo
1050,1029,Eswatini,Mozambique
1050,258,Eswatini,South Africa
1049,1016,Sudan,Libya
1049,986,Sudan,Eritrea
29999,142,Kingdom of the Netherlands,France
221,248378,North Macedonia,Kaçanik
221,1574188,North Macedonia,Elez Han
221,392505,North Macedonia,Štrpce
1049,1036,Sudan,Uganda
29999,31,Kingdom of the Netherlands,Belgium
29999,183,Kingdom of the Netherlands,Germany
219060,801,State of Palestine,Israel
756617,20,Kingdom of Denmark,Norway
1049,620634,Sudan,Bir Tawil
29999,717,Kingdom of the Netherlands,Venezuela
1041,7735661,Senegal,Commonwealth realm of the Gambia
756617,16,Kingdom of Denmark,Canada
756617,34,Kingdom of Denmark,Sweden
756617,145,Kingdom of Denmark,United Kingdom
29999,151938,Kingdom of the Netherlands,Neutral Moresnet
756617,36,Kingdom of Denmark,Poland
756617,183,Kingdom of Denmark,Germany
756617,189,Kingdom of Denmark,Iceland
756617,458,Kingdom of Denmark,European Union
1045,848864,Somalia,Sool
1045,34754,Somalia,Somaliland
1049,105082407,Sudan,Kingdom of Africa
221,13037427,North Macedonia,Dibër Municipality
221,13037417,North Macedonia,Kukës municipality
221,13037422,North Macedonia,Librazhd municipality
222,36704,Albania,Yugoslavia
224,73330139,Croatia,Verdis
227,155542,Azerbaijan,Eastern Anatolia Region
225,58253,Bosnia and Herzegovina,Split-Dalmatia County
228,12787,Andorra,Cerdanya
228,5705,Andorra,Catalonia
228,18678265,Andorra,Occitania
230,155533,Georgia,Black Sea Region
230,5237,Georgia,Republic of North Ossetia-Alania
230,31354462,Georgia,Republic of Abkhazia
230,155542,Georgia,Eastern Anatolia Region
230,210036,Georgia,Chechen Republic of Ichkeria
235,273964,Monaco,Beausoleil
235,220668,Monaco,Roquebrune-Cap-Martin
236,16350146,Montenegro,Shkodër municipality
237,893556,Vatican City,Borgo
237,1666696,Vatican City,Prati
237,3539462,Vatican City,Trionfale
237,2871867,Vatican City,Aurelio
242,599455,Belize,Melchor de Mencos
242,989812,Belize,Dolores
242,19464773,Belize,Northern America and Mexico
262,40362,Algeria,Sahrawi Arab Democratic Republic
265,633511,Uzbekistan,Khatlon Province
298,107236912,Chile,Political geography of Argentina
334,523435,Singapore,United States of Indonesia
334,183032,Singapore,Johor
334,2223,Singapore,Riau Islands
347,28513,Liechtenstein,Austria-Hungary
347,131964,Liechtenstein,Austrian Empire
347,38981,Liechtenstein,Vorarlberg
347,176495,Liechtenstein,Federal State of Austria
347,518101,Liechtenstein,First Republic of Austria
399,155542,Armenia,Eastern Anatolia Region
399,131083,Armenia,Nakhchivan Autonomous Republic
399,244165,Armenia,Republic of Artsakh
399,201557,Armenia,Karki
403,73330139,Serbia,Verdis
403,5062818,Serbia,Foeni
403,19801186,Serbia,Liberland
403,860399,Serbia,Podujevo Municipality
403,650866,Serbia,Cruceni
403,171150,Serbia,Kingdom of Hungary
408,685,Australia,Solomon Islands
408,1152445,Australia,Aerican Empire
424,878276,Cambodia,Later Lê Dynasty
574,5093,East Timor,Maluku
574,14133,East Timor,Belu
664,1152445,New Zealand,Aerican Empire
668,3037,India,Kathmandu
686,685,Vanuatu,Solomon Islands
691,685,Papua New Guinea,Solomon Islands
668,4478,India,Punjab
697,709,Nauru,Marshall Islands
702,709,Federated States of Micronesia,Marshall Islands
702,16635,Federated States of Micronesia,Guam
710,709,Kiribati,Marshall Islands
711,182902,Mongolia,Chita Oblast
712,685,Fiji,Solomon Islands
717,1647045,Venezuela,Pacaraima
733,107236912,Paraguay,Political geography of Argentina
734,1750038,Guyana,Normandia
750,107236912,Bolivia,Political geography of Argentina
